Area,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,5.8,9.3,9.6,8.9,8.1,7.4,6.2,5.3,4.9,4.4,3.9
Alabama,5.7,11.0,10.5,9.6,8.0,7.2,6.8,6.1,5.8,4.4,3.9
Alaska,6.7,7.7,7.9,7.6,7.1,7.0,6.9,6.5,6.9,7.0,6.6
Arizona,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1,5.4,4.9,4.8
Arkansas,5.5,7.8,8.2,8.3,7.6,7.2,6.0,5.0,4.0,3.7,3.7
California,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2,5.5,4.8,4.2
Colorado,4.8,7.3,8.7,8.4,7.9,6.9,5.0,3.9,3.2,2.7,3.3
Connecticut,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.7,5.1,4.7,4.1
Delaware,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9,4.5,4.5,3.8
District of Columbia,6.5,9.3,9.4,10.2,9.0,8.5,7.8,6.9,6.1,6.1,5.6
Florida,6.3,10.4,11.1,10.0,8.5,7.2,6.3,5.5,4.8,4.2,3.6
Georgia,6.2,9.9,10.5,10.2,9.2,8.2,7.1,6.0,5.4,4.7,3.9
Hawaii,4.3,7.2,6.9,6.8,6.0,4.9,4.4,3.6,3.0,2.4,2.4
Idaho,5.1,8.8,9.0,8.3,7.2,6.1,4.8,4.2,3.8,3.2,2.8
Illinois,6.3,10.2,10.4,9.7,9.0,9.0,7.1,6.0,5.8,4.9,4.3
Indiana,5.9,10.3,10.4,9.1,8.3,7.7,6.0,4.8,4.4,3.6,3.4
Iowa,4.2,6.4,6.0,5.5,5.0,4.7,4.2,3.8,3.6,3.1,2.5
Kansas,4.6,6.9,7.1,6.5,5.7,5.3,4.5,4.2,4.0,3.7,3.4
Kentucky,6.4,10.3,10.2,9.4,8.2,8.0,6.5,5.3,5.1,4.9,4.3
Louisiana,4.9,6.8,8.0,7.8,7.1,6.7,6.4,6.3,6.1,5.1,4.9
Maine,5.5,8.1,8.1,7.9,7.5,6.6,5.6,4.4,3.8,3.4,3.4
Maryland,4.2,7.0,7.7,7.2,7.0,6.6,5.8,5.1,4.5,4.3,3.9
Massachusetts,5.5,8.1,8.3,7.3,6.7,6.7,5.7,4.8,3.9,3.8,3.3
Michigan,8.0,13.7,12.6,10.4,9.1,8.8,7.2,5.4,5.0,4.6,4.1
Minnesota,5.4,7.8,7.4,6.5,5.6,5.0,4.2,3.7,3.9,3.4,2.9
Mississippi,6.6,9.5,10.4,10.0,9.0,8.5,7.5,6.4,5.8,5.1,4.8
Missouri,6.1,9.3,9.6,8.5,6.9,6.7,6.1,5.0,4.6,3.8,3.2
Montana,5.1,6.8,7.3,6.9,6.0,5.4,4.7,4.2,4.1,3.9,3.7
Nebraska,3.3,4.6,4.6,4.4,4.0,3.8,3.3,3.0,3.1,2.9,2.8
Nevada,6.7,11.3,13.5,13.0,11.2,9.6,7.9,6.8,5.7,5.1,4.6
New Hampshire,3.9,6.2,5.8,5.4,5.5,5.1,4.3,3.4,2.9,2.7,2.5
New Jersey,5.3,9.1,9.5,9.3,9.3,8.2,6.8,5.8,5.0,4.6,4.1
New Mexico,4.5,7.5,8.1,7.5,7.1,6.9,6.7,6.5,6.6,5.9,4.9
New York,5.4,8.3,8.6,8.3,8.5,7.7,6.3,5.3,4.9,4.7,4.1
North Carolina,6.1,10.6,10.9,10.3,9.3,8.0,6.3,5.7,5.1,4.5,3.9
North Dakota,3.2,4.1,3.8,3.5,3.1,2.9,2.7,2.8,3.1,2.7,2.6
Ohio,6.4,10.3,10.3,8.8,7.4,7.5,5.8,4.9,5.0,5.0,4.6
Oklahoma,3.7,6.4,6.8,5.9,5.2,5.3,4.5,4.4,4.8,4.2,3.4
Oregon,6.5,11.3,10.6,9.5,8.8,7.9,6.8,5.6,4.8,4.1,4.2
Pennsylvania,5.3,8.0,8.5,7.9,7.8,7.4,5.9,5.3,5.4,4.9,4.3
Rhode Island,7.8,11.0,11.2,11.0,10.4,9.3,7.7,6.0,5.2,4.4,4.1
South Carolina,6.8,11.2,11.2,10.6,9.2,7.6,6.5,6.0,5.0,4.3,3.4
South Dakota,3.1,4.9,5.0,4.7,4.3,3.8,3.4,3.1,3.0,3.2,3.0
Tennessee,6.6,10.5,9.7,9.0,7.8,7.8,6.6,5.6,4.7,3.8,3.5
Texas,4.8,7.6,8.1,7.8,6.7,6.3,5.1,4.4,4.6,4.3,3.9
Utah,3.6,7.3,7.8,6.7,5.4,4.6,3.8,3.6,3.4,3.3,3.1
Vermont,4.7,6.6,6.1,5.5,5.0,4.4,3.9,3.6,3.2,3.0,2.7
Virginia,3.9,6.7,7.1,6.6,6.1,5.7,5.2,4.5,4.1,3.7,3.0
Washington,5.4,9.2,10.0,9.3,8.1,7.0,6.1,5.6,5.3,4.7,4.5
West Virginia,4.3,7.7,8.7,8.1,7.5,6.8,6.6,6.7,6.1,5.2,5.3
Wisconsin,4.9,8.6,8.7,7.8,7.0,6.7,5.4,4.6,4.0,3.3,3.0
Wyoming,3.1,6.3,6.4,5.8,5.3,4.7,4.1,4.3,5.3,4.2,4.1